Year,State,Sex,Education,Count
Aug-14,Western Australia,Female,Year 10 or equivalent,0
Aug-14,Tasmania,Male,Postgraduate Degree,0
Aug-14,Tasmania,Male,Graduate Diploma or Certificate,0
Aug-14,Tasmania,Male,Bachelor Degree,0
Aug-14,Tasmania,Male,Advanced Diploma or Diploma,0
Aug-14,Tasmania,Male,Certificate III or IV,0
Aug-14,Tasmania,Male,Year 12 or equivalent,0
Aug-14,Tasmania,Male,Year 11 or equivalent,0
Aug-14,Tasmania,Male,Year 10 or equivalent,0
Aug-14,Tasmania,Female,Postgraduate Degree,0
Aug-14,Tasmania,Female,Graduate Diploma or Certificate,0
Aug-14,Tasmania,Female,Bachelor Degree,0
Aug-14,Tasmania,Female,Advanced Diploma or Diploma,0
Aug-14,Tasmania,Female,Certificate III or IV,0
Aug-14,Tasmania,Female,Year 12 or equivalent,0
Aug-14,Tasmania,Female,Year 11 or equivalent,0
Aug-14,Tasmania,Female,Year 10 or equivalent,0
Aug-14,Northern Territory,Male,Postgraduate Degree,0
Aug-14,Northern Territory,Male,Graduate Diploma or Certificate,0
Aug-14,Northern Territory,Male,Bachelor Degree,0
Aug-14,Northern Territory,Male,Advanced Diploma or Diploma,0
Aug-14,Northern Territory,Male,Certificate III or IV,0
Aug-14,Northern Territory,Male,Year 12 or equivalent,0
Aug-14,Northern Territory,Male,Year 11 or equivalent,0
Aug-14,Northern Territory,Male,Year 10 or equivalent,0
Aug-14,Northern Territory,Female,Postgraduate Degree,0
Aug-14,Northern Territory,Female,Graduate Diploma or Certificate,0
Aug-14,Northern Territory,Female,Bachelor Degree,0
Aug-14,Northern Territory,Female,Advanced Diploma or Diploma,0
Aug-14,Northern Territory,Female,Certificate III or IV,0
Aug-14,Northern Territory,Female,Year 12 or equivalent,0
Aug-14,Northern Territory,Female,Year 11 or equivalent,0
Aug-14,Northern Territory,Female,Year 10 or equivalent,0
Aug-14,Australian Capital Territory,Male,Postgraduate Degree,0
Aug-14,Australian Capital Territory,Male,Graduate Diploma or Certificate,0
Aug-14,Australian Capital Territory,Male,Bachelor Degree,0
Aug-14,Australian Capital Territory,Male,Advanced Diploma or Diploma,0
Aug-14,Australian Capital Territory,Male,Certificate III or IV,0
Aug-14,Australian Capital Territory,Male,Year 12 or equivalent,0
Aug-14,Australian Capital Territory,Male,Year 11 or equivalent,0
Aug-14,Australian Capital Territory,Male,Year 10 or equivalent,0
Aug-14,Australian Capital Territory,Female,Postgraduate Degree,0
Aug-14,Australian Capital Territory,Female,Graduate Diploma or Certificate,0
Aug-14,Australian Capital Territory,Female,Bachelor Degree,0
Aug-14,Australian Capital Territory,Female,Advanced Diploma or Diploma,0
Aug-14,Australian Capital Territory,Female,Certificate III or IV,0
Aug-14,Australian Capital Territory,Female,Year 12 or equivalent,0
Aug-14,Australian Capital Territory,Female,Year 11 or equivalent,0
Aug-14,Australian Capital Territory,Female,Year 10 or equivalent,0
Aug-14,Total,Male,Postgraduate Degree,0
Aug-14,Total,Male,Graduate Diploma or Certificate,0
Aug-14,Total,Male,Bachelor Degree,0
Aug-14,Total,Male,Advanced Diploma or Diploma,0
Aug-14,Total,Male,Certificate III or IV,0
Aug-14,Total,Male,Year 12 or equivalent,0
Aug-14,Total,Male,Year 11 or equivalent,0
Aug-14,Total,Male,Year 10 or equivalent,0
Aug-14,Total,Female,Postgraduate Degree,0
Aug-14,Total,Female,Graduate Diploma or Certificate,0
Aug-14,Total,Female,Bachelor Degree,0
Aug-14,Total,Female,Advanced Diploma or Diploma,0
Aug-14,Total,Female,Certificate III or IV,0
Aug-14,Total,Female,Year 12 or equivalent,0
Aug-14,Total,Female,Year 11 or equivalent,0
Aug-14,Total,Female,Year 10 or equivalent,0
Aug-15,New South Wales,Male,Postgraduate Degree,0
Aug-15,New South Wales,Male,Graduate Diploma or Certificate,0
Aug-15,New South Wales,Male,Bachelor Degree,0
Aug-15,New South Wales,Male,Advanced Diploma or Diploma,0
Aug-15,New South Wales,Male,Certificate III or IV,0
Aug-15,New South Wales,Male,Year 12 or equivalent,0
Aug-15,New South Wales,Male,Year 11 or equivalent,0
Aug-15,New South Wales,Male,Year 10 or equivalent,0
Aug-15,New South Wales,Female,Postgraduate Degree,0
Aug-15,New South Wales,Female,Graduate Diploma or Certificate,0
Aug-15,New South Wales,Female,Bachelor Degree,0
Aug-15,New South Wales,Female,Advanced Diploma or Diploma,0
Aug-15,New South Wales,Female,Certificate III or IV,0
Aug-15,New South Wales,Female,Year 12 or equivalent,0
Aug-15,New South Wales,Female,Year 11 or equivalent,0
Aug-15,New South Wales,Female,Year 10 or equivalent,0
Aug-15,Victoria,Male,Postgraduate Degree,0
Aug-15,Victoria,Male,Graduate Diploma or Certificate,0
Aug-15,Victoria,Male,Bachelor Degree,0
Aug-15,Victoria,Male,Advanced Diploma or Diploma,0
Aug-15,Victoria,Male,Certificate III or IV,0
Aug-15,Victoria,Male,Year 12 or equivalent,0
Aug-15,Victoria,Male,Year 11 or equivalent,0
Aug-15,Victoria,Male,Year 10 or equivalent,0
Aug-15,Victoria,Female,Postgraduate Degree,0
Aug-15,Victoria,Female,Graduate Diploma or Certificate,0
Aug-15,Victoria,Female,Bachelor Degree,0
Aug-15,Victoria,Female,Advanced Diploma or Diploma,0
Aug-15,Victoria,Female,Certificate III or IV,0
Aug-15,Victoria,Female,Year 12 or equivalent,0
Aug-15,Victoria,Female,Year 11 or equivalent,0
Aug-15,Victoria,Female,Year 10 or equivalent,0
Aug-15,Queensland,Male,Postgraduate Degree,0
Aug-15,Queensland,Male,Graduate Diploma or Certificate,0
Aug-15,Queensland,Male,Bachelor Degree,0
Aug-15,Queensland,Male,Advanced Diploma or Diploma,0
Aug-15,Queensland,Male,Certificate III or IV,0
Aug-15,Queensland,Male,Year 12 or equivalent,0
Aug-15,Queensland,Male,Year 11 or equivalent,0
Aug-15,Queensland,Male,Year 10 or equivalent,0
Aug-15,Queensland,Female,Postgraduate Degree,0
Aug-15,Queensland,Female,Graduate Diploma or Certificate,0
Aug-15,Queensland,Female,Bachelor Degree,0
Aug-15,Queensland,Female,Advanced Diploma or Diploma,0
Aug-15,Queensland,Female,Certificate III or IV,0
Aug-15,Queensland,Female,Year 12 or equivalent,0
Aug-15,Queensland,Female,Year 11 or equivalent,0
Aug-15,Queensland,Female,Year 10 or equivalent,0
Aug-15,South Australia,Male,Postgraduate Degree,0
Aug-15,South Australia,Male,Graduate Diploma or Certificate,0
Aug-15,South Australia,Male,Bachelor Degree,0
Aug-15,South Australia,Male,Advanced Diploma or Diploma,0
Aug-15,South Australia,Male,Certificate III or IV,0
Aug-15,South Australia,Male,Year 12 or equivalent,0
Aug-15,South Australia,Male,Year 11 or equivalent,0
Aug-15,South Australia,Male,Year 10 or equivalent,0
Aug-15,South Australia,Female,Postgraduate Degree,0
Aug-15,South Australia,Female,Graduate Diploma or Certificate,0
Aug-15,South Australia,Female,Bachelor Degree,0
Aug-15,South Australia,Female,Advanced Diploma or Diploma,0
Aug-15,South Australia,Female,Certificate III or IV,0
Aug-15,South Australia,Female,Year 12 or equivalent,0
Aug-15,South Australia,Female,Year 11 or equivalent,0
Aug-15,South Australia,Female,Year 10 or equivalent,0
Aug-15,Western Australia,Male,Postgraduate Degree,0
Aug-15,Western Australia,Male,Graduate Diploma or Certificate,0
Aug-15,Western Australia,Male,Bachelor Degree,0
Aug-15,Western Australia,Male,Advanced Diploma or Diploma,0
Aug-15,Western Australia,Male,Certificate III or IV,0
Aug-15,Western Australia,Male,Year 12 or equivalent,0
Aug-15,Western Australia,Male,Year 11 or equivalent,0
Aug-15,Western Australia,Male,Year 10 or equivalent,0
Aug-15,Western Australia,Female,Postgraduate Degree,0
Aug-15,Western Australia,Female,Graduate Diploma or Certificate,0
Aug-15,Western Australia,Female,Bachelor Degree,0
Aug-15,Western Australia,Female,Advanced Diploma or Diploma,0
Aug-15,Western Australia,Female,Certificate III or IV,0
Aug-15,Western Australia,Female,Year 12 or equivalent,0
Aug-15,Western Australia,Female,Year 11 or equivalent,0
Aug-15,Western Australia,Female,Year 10 or equivalent,0
Aug-15,Tasmania,Male,Postgraduate Degree,0
