Year,Sex,State,Industry,Weekly_Sum
2014,Female,Northern Territory,Other Services,1708702.1
2014,Female,Northern Territory,Total,60618198
2014,Female,Australian Capital Territory,"Agriculture, Forestry and Fishing",0
2014,Female,Australian Capital Territory,Mining,0
2014,Female,Australian Capital Territory,Manufacturing,1008735.9
2014,Female,Australian Capital Territory,"Electricity, Gas, Water and Waste Services",1076966
2014,Female,Australian Capital Territory,Construction,1598164
2014,Female,Australian Capital Territory,Wholesale Trade,554621.3
2014,Female,Australian Capital Territory,Retail Trade,3516293.9
2014,Female,Australian Capital Territory,Accommodation and Food Services,3123875.3
2014,Female,Australian Capital Territory,"Transport, Postal and Warehousing",409665.2
2014,Female,Australian Capital Territory,Information Media and Telecommunications,2519307
2014,Female,Australian Capital Territory,Financial and Insurance Services,1570181.7
2014,Female,Australian Capital Territory,"Rental, Hiring and Real Estate Services",714157.3
2014,Female,Australian Capital Territory,"Professional, Scientific and Technical Services",10083241.1
2014,Female,Australian Capital Territory,Administrative and Support Services,3581315.8
2014,Female,Australian Capital Territory,Public Administration and Safety,52071238.6
2014,Female,Australian Capital Territory,Education and Training,10418807.7
2014,Female,Australian Capital Territory,Health Care and Social Assistance,21118310.1
2014,Female,Australian Capital Territory,Arts and Recreation Services,2371299.2
2014,Female,Australian Capital Territory,Other Services,2111125.4
2014,Female,Australian Capital Territory,Total,118549731.2
2014,Female,Total,"Agriculture, Forestry and Fishing",19956450.4
2014,Female,Total,Mining,58498240.2
2014,Female,Total,Manufacturing,218191710.6
2014,Female,Total,"Electricity, Gas, Water and Waste Services",33154591.8
2014,Female,Total,Construction,86956514.7
2014,Female,Total,Wholesale Trade,129552787.2
2014,Female,Total,Retail Trade,377219565.2
2014,Female,Total,Accommodation and Food Services,210265824.7
2014,Female,Total,"Transport, Postal and Warehousing",131683660.2
2014,Female,Total,Information Media and Telecommunications,96190321.8
2014,Female,Total,Financial and Insurance Services,264651114.9
2014,Female,Total,"Rental, Hiring and Real Estate Services",101489978.1
2014,Female,Total,"Professional, Scientific and Technical Services",416967835.3
2014,Female,Total,Administrative and Support Services,142298447.9
2014,Female,Total,Public Administration and Safety,447490441.7
2014,Female,Total,Education and Training,641438169.6
2014,Female,Total,Health Care and Social Assistance,1006600409
2014,Female,Total,Arts and Recreation Services,56701415.4
2014,Female,Total,Other Services,100292795.4
2014,Female,Total,Total,4540402735
2014,Male,New South Wales,"Agriculture, Forestry and Fishing",31857840.2
2014,Male,New South Wales,Mining,60533774
2014,Male,New South Wales,Manufacturing,227354295.1
2014,Male,New South Wales,"Electricity, Gas, Water and Waste Services",50171566.8
2014,Male,New South Wales,Construction,270612698.3
2014,Male,New South Wales,Wholesale Trade,123215356.1
2014,Male,New South Wales,Retail Trade,140299607.6
2014,Male,New South Wales,Accommodation and Food Services,64111425.7
2014,Male,New South Wales,"Transport, Postal and Warehousing",206451209.5
2014,Male,New South Wales,Information Media and Telecommunications,85294886.8
2014,Male,New South Wales,Financial and Insurance Services,193771834.6
2014,Male,New South Wales,"Rental, Hiring and Real Estate Services",53743283.3
2014,Male,New South Wales,"Professional, Scientific and Technical Services",268926421.1
2014,Male,New South Wales,Administrative and Support Services,53672566.4
2014,Male,New South Wales,Public Administration and Safety,163288770.3
2014,Male,New South Wales,Education and Training,124412307.7
